ID_code,price,carat,cut,color,clarity,depth,table,x,y,z
train_140,3634,1.0,Premium,G,SI1,60.1,61.0,6.44,6.4,3.86
train_141,974,0.34,Ideal,G,IF,61.4,56.0,4.5,4.53,2.77
train_142,1151,0.41,Very Good,D,VS1,62.9,57.0,4.73,4.75,2.98
train_143,1624,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27
train_144,1667,0.63,Premium,I,VS1,62.0,58.0,5.52,5.45,3.4
train_145,2648,0.7,Ideal,H,VS1,62.0,59.0,5.68,5.71,3.53
train_146,1181,0.42,Premium,E,VS1,62.2,59.0,4.79,4.76,2.97
train_147,1094,0.3,Ideal,G,VVS1,62.1,56.0,4.35,4.28,2.68
train_148,1956,0.53,Ideal,D,VS2,62.3,56.0,5.17,5.14,3.21
train_149,814,0.32,Ideal,G,VVS1,61.6,55.0,4.43,4.47,2.74
train_150,524,0.3,Ideal,D,SI1,61.9,57.0,4.28,4.32,2.66
train_151,7754,1.61,Premium,H,SI1,62.8,58.0,7.47,7.4,4.67
train_152,638,0.3,Very Good,G,VVS2,62.9,58.0,4.26,4.29,2.69
train_153,4805,1.01,Good,D,SI2,63.6,57.0,6.39,6.35,4.05
train_154,872,0.31,Ideal,E,VS2,61.0,56.0,4.38,4.34,2.66
train_155,2346,0.8,Premium,H,SI2,62.2,58.0,5.99,5.93,3.71
train_156,1232,0.39,Very Good,D,VVS2,62.9,58.0,4.62,4.66,2.92
train_157,6184,1.22,Premium,H,VS2,62.7,59.0,6.82,6.81,4.27
train_158,2596,0.7,Premium,F,SI1,59.4,59.0,5.8,5.75,3.43
train_159,2075,0.82,Ideal,I,SI2,61.1,57.0,6.05,6.09,3.71
train_160,14256,1.5,Very Good,E,VS2,60.7,60.0,7.32,7.41,4.47
train_161,3181,0.91,Very Good,J,SI2,62.0,56.0,6.18,6.23,3.85
train_162,2616,0.81,Premium,G,SI2,62.2,59.0,5.96,5.9,3.69
train_163,3402,0.81,Premium,G,VS1,61.7,59.0,6.07,5.96,3.71
train_164,411,0.23,Premium,D,VS2,58.5,61.0,4.06,3.98,2.35
train_165,4844,0.82,Very Good,G,IF,61.9,57.0,5.96,6.0,3.7
train_166,2492,0.62,Ideal,E,VS1,60.3,57.0,5.52,5.57,3.35
train_167,3538,0.9,Fair,H,VS2,64.6,55.0,6.07,6.0,3.9
train_168,533,0.25,Very Good,E,VVS2,,61.0,4.03,4.06,2.47
train_169,4711,0.95,Very Good,E,SI1,62.8,59.0,6.21,6.25,3.91
train_170,790,0.32,Ideal,D,VVS2,62.2,56.0,4.37,4.41,2.73
train_171,863,0.3,Ideal,G,IF,61.5,55.0,4.33,4.35,2.67
train_172,3237,0.95,Premium,I,SI2,62.5,58.0,6.3,6.24,3.92
train_173,760,0.27,Very Good,E,IF,59.7,56.0,4.26,4.28,2.55
train_174,900,0.32,Ideal,E,VS2,61.9,55.0,4.43,4.42,2.74
train_175,1728,0.51,Ideal,F,VS1,61.7,55.0,5.13,5.17,3.18
train_176,928,0.33,Ideal,E,VS2,60.6,55.0,4.5,4.48,2.72
train_177,4315,1.15,Ideal,H,SI2,60.5,56.0,6.83,6.8,4.13
train_178,506,0.3,Very Good,F,SI2,63.4,56.0,4.29,4.26,2.71
train_179,6787,1.01,Ideal,F,VS2,60.9,57.0,6.48,6.45,3.94
train_180,14482,1.51,Ideal,G,VS2,62.1,55.0,7.38,7.33,4.56
train_181,4853,1.01,Ideal,E,SI1,60.7,57.0,6.52,6.49,3.95
train_182,665,0.3,Ideal,G,VVS2,62.4,55.0,4.32,4.34,2.7
train_183,5860,1.0,Good,G,VS2,63.5,59.0,6.23,6.33,3.99
train_184,9225,1.3,Ideal,G,VS2,61.9,55.0,7.04,7.01,4.35
train_185,684,0.36,Ideal,E,VS2,,57.0,4.55,4.59,2.82
train_186,1026,0.48,Ideal,H,VS2,62.2,54.0,5.04,5.05,3.14
train_187,10742,1.13,Ideal,F,VVS2,62.1,54.0,6.67,6.71,4.16
train_188,7037,1.02,Ideal,F,VS2,62.8,57.0,6.41,6.36,4.01
train_189,6224,1.05,Very Good,E,SI1,59.7,57.0,6.63,6.71,3.98
train_190,631,0.36,Ideal,E,SI1,61.6,56.0,4.56,4.59,2.82
train_191,827,0.35,Premium,D,SI1,61.0,60.0,4.58,4.54,2.78
train_192,1235,0.57,Very Good,J,SI2,59.9,60.0,5.36,5.43,3.23
train_193,723,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74
train_194,4764,1.03,Premium,D,SI2,62.5,54.0,6.5,6.42,4.04
train_195,1026,0.49,Premium,G,SI1,60.6,60.0,5.1,5.06,3.08
train_196,798,0.4,Very Good,E,SI2,63.1,57.0,4.72,4.7,2.97
train_197,2383,0.75,Very Good,E,SI2,60.9,59.0,5.83,5.9,3.57
train_198,3276,0.9,Fair,E,VS1,67.6,56.0,5.94,5.9,4.0
train_199,15324,2.51,Ideal,H,SI1,62.9,56.0,8.65,8.61,5.43
train_200,5055,1.02,Premium,D,SI2,62.8,55.0,6.46,6.38,4.03
train_201,2647,0.72,Good,F,SI1,63.1,56.0,5.67,5.68,3.58
train_202,1284,0.53,Ideal,F,SI1,61.6,54.0,5.23,5.25,3.23
train_203,5044,1.04,Ideal,G,SI2,62.4,54.0,6.49,6.53,4.06
train_204,530,0.23,Very Good,E,VVS1,61.3,60.0,3.95,4.01,2.44
train_205,5204,1.05,Ideal,G,SI1,59.7,56.0,6.67,6.64,3.97
train_206,719,0.41,Premium,G,SI1,60.3,59.0,4.76,4.79,2.88
train_207,3013,0.71,Ideal,F,VS1,61.1,57.0,5.76,5.82,3.54
train_208,5329,1.12,Premium,G,SI1,59.8,58.0,6.79,6.76,4.05
train_209,1757,0.51,Ideal,G,VS1,61.8,60.0,5.08,5.12,3.15
train_210,7751,1.07,Premium,D,VS2,61.3,59.0,6.61,6.53,4.03
train_211,1357,0.5,Very Good,F,VS2,60.8,61.0,5.04,5.09,3.08
train_212,3784,0.69,Ideal,F,VVS1,61.6,56.0,5.69,5.71,3.51
train_213,4712,1.02,Good,E,SI2,63.2,56.0,6.37,6.41,4.04
train_214,1129,0.33,Ideal,E,IF,61.9,57.0,4.41,4.45,2.74
train_215,18359,2.07,Premium,I,VS2,,58.0,8.2,8.18,5.01
train_216,468,0.26,Good,H,VVS2,63.3,58.0,4.04,4.08,2.57
train_217,4459,1.02,Good,D,SI2,64.1,58.0,6.25,6.32,4.03
train_218,521,0.33,Premium,I,VS1,61.1,59.0,4.44,4.47,2.72
train_219,447,0.3,Very Good,D,SI2,62.9,58.0,4.26,4.29,2.69
train_220,895,0.3,Very Good,G,IF,63.0,53.0,4.24,4.3,2.69
train_221,736,0.33,Ideal,D,SI1,61.9,55.0,4.45,4.47,2.76
train_222,730,0.34,Very Good,F,VS2,62.5,57.5,4.4,4.45,2.77
train_223,5645,1.0,Good,D,VS2,63.6,56.0,6.38,6.27,4.02
train_224,15162,1.82,Premium,G,SI1,62.7,58.0,7.75,7.68,4.84
train_225,961,0.41,Premium,G,VS1,60.5,57.0,4.85,4.81,2.92
train_226,579,0.33,Premium,G,VS2,60.0,58.0,4.47,4.49,2.69
train_227,7006,1.39,Premium,H,VS2,62.5,59.0,7.17,7.1,4.46
train_228,7134,1.0,Good,G,VVS1,63.8,60.0,6.35,6.31,4.04
train_229,612,0.34,Ideal,E,SI2,62.9,56.0,4.48,4.45,2.81
train_230,1919,0.51,Ideal,G,VVS1,,53.0,5.14,5.2,3.2
train_231,447,0.3,Very Good,D,SI2,61.2,60.0,4.28,4.31,2.63
train_232,563,0.35,Ideal,G,VS2,61.6,54.0,4.55,4.58,2.81
train_233,1235,0.5,Premium,D,SI1,60.7,59.0,5.11,5.04,3.08
train_234,9630,1.17,Ideal,G,VVS2,61.6,56.0,6.77,6.83,4.18
train_235,1100,0.39,Ideal,E,VVS2,62.1,54.6,4.67,4.7,2.91
train_236,1140,0.5,Ideal,H,SI1,62.1,58.0,5.04,5.07,3.14
train_237,759,0.37,Ideal,F,VS2,61.7,55.0,4.61,4.73,2.88
train_238,10020,1.26,Very Good,G,VVS2,60.9,56.0,6.95,7.01,4.25
train_239,4018,1.05,Premium,G,SI2,62.7,54.0,6.51,6.48,4.07
train_240,4242,1.01,Very Good,H,SI1,62.7,59.0,6.27,6.33,3.95
train_241,4062,0.9,Premium,F,SI1,60.4,59.0,6.29,6.32,3.81
train_242,3437,0.9,Very Good,H,SI1,62.8,58.0,6.13,6.16,3.86
train_243,949,0.3,Ideal,D,VS1,61.8,57.0,4.27,4.3,2.65
train_244,4788,1.0,Premium,H,SI1,62.1,56.0,6.48,6.38,3.99
train_245,7839,1.01,Premium,E,VS1,62.9,60.0,6.36,6.32,3.99
train_246,3892,1.02,Premium,G,SI2,62.3,58.0,6.41,6.38,4.0
train_247,696,0.37,Premium,F,VS2,60.5,59.0,4.62,4.67,2.81
train_248,8401,1.02,Ideal,G,VVS2,62.1,57.0,6.43,6.45,4.0
train_249,8092,1.54,Ideal,I,SI2,60.3,59.0,7.43,7.46,4.49
train_250,9720,1.26,Premium,D,VS2,62.5,59.0,6.91,6.85,4.3
train_251,4120,1.11,Premium,I,SI2,61.8,58.0,6.61,6.66,4.1
train_252,4797,1.05,Very Good,E,SI2,60.5,58.0,6.55,6.6,3.98
train_253,4449,1.03,Very Good,F,SI2,62.2,56.0,6.51,6.48,4.04
train_254,1020,0.53,Ideal,H,SI2,61.9,54.0,5.21,5.23,3.23
train_255,1830,0.6,Premium,E,SI1,61.9,58.0,5.43,5.39,3.35
train_256,5937,1.14,Premium,H,VS2,61.7,60.0,6.74,6.67,4.14
train_257,1015,0.41,Premium,D,SI1,62.1,59.0,4.76,4.74,2.95
train_258,7411,1.01,Very Good,F,VS2,62.9,55.0,6.36,6.42,4.02
train_259,4283,1.11,Premium,F,SI2,62.1,58.0,6.63,6.51,4.1
train_260,928,0.33,Ideal,E,VS2,62.3,57.0,4.43,4.37,2.74
train_261,699,0.34,Ideal,F,VS2,60.8,57.0,4.51,4.54,2.75
train_262,1103,0.35,Ideal,H,IF,61.7,54.0,4.55,4.53,2.8
train_263,1660,0.51,Ideal,D,VS2,61.9,54.0,5.14,5.17,3.19
train_264,6169,1.02,Ideal,G,VS2,61.9,53.0,6.5,6.48,4.02
train_265,854,0.33,Very Good,F,VS2,63.2,56.0,4.41,4.39,2.78
train_266,3234,0.7,Premium,G,VVS1,62.8,58.0,5.68,5.62,3.55
train_267,7332,1.01,Good,G,VVS2,62.4,59.0,6.32,6.37,3.96
train_268,1096,0.38,Ideal,F,VVS1,,53.0,4.63,4.67,2.9
train_269,703,0.39,Very Good,G,SI1,58.9,61.0,4.74,4.76,2.8
train_270,3700,1.12,Very Good,G,SI2,63.4,57.0,6.51,6.47,4.12
train_271,2340,0.65,Ideal,F,VS1,62.2,57.0,5.6,5.53,3.46
train_272,5988,1.01,Very Good,F,VS2,59.9,61.0,6.46,6.5,3.88
train_273,737,0.3,Premium,F,VVS2,61.5,58.0,4.29,4.31,2.64
train_274,2519,0.73,Premium,I,VVS2,61.5,58.0,5.78,5.73,3.54
train_275,7835,1.01,Very Good,F,VVS2,60.7,59.0,6.4,6.46,3.9
train_276,972,0.32,Ideal,E,VS1,61.8,55.0,4.43,4.4,2.73
train_277,578,0.26,Ideal,I,VS1,61.6,54.0,4.08,4.12,2.53
train_278,4483,1.06,Premium,D,SI2,59.8,61.0,6.63,6.58,3.95
train_279,2056,0.72,Good,H,SI2,57.9,58.0,5.98,5.91,3.44
train_280,821,0.36,Very Good,G,VVS1,62.8,57.0,4.52,4.55,2.85
train_281,610,0.33,Ideal,H,SI1,63.0,57.0,4.41,4.39,2.77
train_282,2438,0.9,Fair,J,SI1,64.6,61.0,5.92,5.87,3.81
train_283,4126,0.8,Ideal,E,VS2,62.2,55.0,5.95,5.98,3.71
train_284,421,0.32,Premium,J,VS1,61.9,58.0,4.33,4.39,2.7
train_285,572,0.24,Ideal,F,VS1,62.7,54.0,3.99,4.02,2.51
train_286,791,0.4,Very Good,E,VS2,63.8,55.0,4.66,4.71,2.99
train_287,565,0.26,Premium,H,VVS2,59.8,61.0,4.18,4.15,2.49
train_288,1629,0.5,Ideal,E,VS2,62.5,57.0,5.1,5.04,3.17
train_289,4194,0.92,Premium,F,SI1,62.2,59.0,6.21,6.14,3.84
train_290,810,0.44,Ideal,E,SI1,62.6,56.0,4.84,4.9,3.05
train_291,709,0.3,Premium,I,VVS1,62.6,60.0,4.28,4.25,2.67
train_292,2010,0.7,Good,I,VS2,63.6,58.0,5.57,5.59,3.55
train_293,2085,0.56,Ideal,E,VS1,61.2,56.0,5.3,5.34,3.26
train_294,8475,1.5,Very Good,I,SI1,60.7,58.0,7.34,7.4,4.47
train_295,758,0.32,Ideal,E,VS1,61.9,56.0,4.38,4.41,2.72
train_296,1700,0.53,Ideal,E,VS1,60.9,57.0,5.19,5.25,3.18
train_297,816,0.31,Ideal,G,VVS1,61.7,57.0,4.34,4.38,2.69
train_298,1223,0.53,Ideal,E,SI2,60.9,57.0,5.21,5.23,3.18
train_299,11267,1.53,Very Good,F,SI1,62.0,56.0,7.39,7.47,4.61
train_300,2277,0.72,Very Good,H,SI1,61.5,56.0,5.77,5.8,3.56
train_301,5889,1.24,Premium,I,VS2,60.1,59.0,7.02,6.95,4.2
train_302,6566,1.21,Very Good,H,SI1,63.5,60.0,6.65,6.61,4.21
train_303,1308,0.53,Ideal,G,SI1,62.7,55.0,5.15,5.19,3.24
train_304,2302,0.7,Very Good,G,VS2,63.1,58.0,5.69,5.66,3.58
train_305,1777,0.6,Very Good,D,SI1,60.3,58.0,5.44,5.51,3.3
train_306,5612,1.31,Premium,I,SI2,63.0,58.0,6.97,6.93,4.38
train_307,11566,2.01,Very Good,J,SI1,63.4,57.0,7.97,7.89,5.03
train_308,1244,0.67,Very Good,E,SI2,63.1,58.0,5.62,5.53,3.53
train_309,1436,0.5,Good,F,VS2,63.3,57.0,5.01,5.07,3.19
train_310,4054,0.9,Ideal,F,SI1,,56.0,6.13,6.16,3.84
train_311,1240,0.49,Premium,G,VS2,59.8,59.0,5.16,5.14,3.08
train_312,1629,0.52,Very Good,G,VS1,62.3,58.0,5.14,5.17,3.21
train_313,1843,0.77,Very Good,J,VS2,62.1,62.0,5.82,5.87,3.63
train_314,3312,0.7,Good,D,VVS2,63.6,57.0,5.61,5.58,3.56
train_315,2999,0.87,Premium,F,SI2,61.6,58.0,6.14,6.1,3.77
train_316,4235,1.1,Very Good,I,SI1,60.4,61.0,6.69,6.73,4.05
train_317,1384,0.55,Good,I,VVS2,61.0,61.0,5.32,5.36,3.26
train_318,4241,1.05,Premium,G,SI2,61.3,58.0,6.55,6.6,4.03
train_319,5632,1.23,Premium,I,VS1,61.6,58.0,6.9,6.84,4.23
train_320,2846,1.01,Fair,H,SI2,65.4,59.0,6.3,6.26,4.11
train_321,1033,0.34,Ideal,D,VS2,62.9,56.0,4.5,4.44,2.81
train_322,4704,1.0,Premium,E,SI2,61.4,61.0,6.41,6.36,3.92
train_323,7090,1.33,Good,I,VS1,63.7,56.0,6.96,6.92,4.42
train_324,4249,1.21,Ideal,H,SI1,62.9,57.0,6.78,6.74,4.25
train_325,6529,1.31,Premium,H,SI2,60.8,58.0,7.13,7.08,4.32
train_326,667,0.35,Ideal,E,SI1,60.7,56.0,4.57,4.59,2.78
train_327,2118,0.56,Ideal,H,VVS2,61.8,56.0,5.28,5.33,3.28
train_328,972,0.32,Premium,D,VS2,62.0,57.0,4.42,4.38,2.73
train_329,8189,1.12,Ideal,G,VS2,60.9,56.0,6.7,6.74,4.09
train_330,2201,0.83,Ideal,I,VS2,62.9,56.0,5.98,5.94,3.75
train_331,13767,2.05,Premium,G,SI1,62.2,56.0,8.19,8.08,5.06
train_332,5884,1.2,Very Good,H,SI2,61.5,58.0,6.78,6.84,4.19
train_333,4964,1.08,Ideal,H,SI1,62.8,57.0,6.55,6.51,4.1
train_334,1795,0.5,Good,D,VS1,64.3,54.0,5.02,5.06,3.24
train_335,1286,0.5,Good,G,SI1,63.6,55.0,5.06,5.03,3.21
train_336,1598,0.53,Ideal,G,VS2,60.9,57.0,5.25,5.26,3.2
train_337,8219,1.51,Very Good,H,VS2,63.1,57.0,7.24,7.21,4.56
